"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Trevor Siemian",5500,"NYG@DEN 08:30PM ET",17.280,"DEN"
"QB","Joe Flacco",5400,"CHI@BAL 01:00PM ET",8.484,"BAL"
"RB","Javorius Allen",5400,"CHI@BAL 01:00PM ET",12.980,"BAL"
"RB","Lamar Miller",5400,"CLE@HOU 01:00PM ET",14.120,"HOU"
"WR","Tyrell Williams",5400,"LAC@OAK 04:25PM ET",10.400,"LAC"
"WR","Rishard Matthews",5400,"IND@TEN 08:30PM ET",10.820,"TEN"
"RB","Andre Ellington",5300,"TB@ARI 04:05PM ET",11.720,"ARI"
"WR","Will Fuller V",5200,"CLE@HOU 01:00PM ET",20.050,"HOU"
"QB","Josh McCown",5200,"NE@NYJ 01:00PM ET",12.860,"NYJ"
"RB","James White",5200,"NE@NYJ 01:00PM ET",11.920,"NE"
"RB","DeMarco Murray",5200,"IND@TEN 08:30PM ET",9.840,"TEN"
"RB","Tarik Cohen",5100,"CHI@BAL 01:00PM ET",12.860,"CHI"
"RB","Duke Johnson Jr.",5100,"CLE@HOU 01:00PM ET",15.140,"CLE"
"QB","Brian Hoyer",5100,"SF@WAS 01:00PM ET",14.428,"SF"
"WR","Sterling Shepard",5100,"NYG@DEN 08:30PM ET",11.720,"NYG"
"RB","Tevin Coleman",5000,"MIA@ATL 01:00PM ET",13.150,"ATL"
"QB","Mitchell Trubisky",5000,"CHI@BAL 01:00PM ET",5.660,"CHI"
"QB","Case Keenum",5000,"GB@MIN 01:00PM ET",14.700,"MIN"
"TE","Jordan Reed",5000,"SF@WAS 01:00PM ET",8.167,"WAS"
"RB","Chris Thompson",5000,"SF@WAS 01:00PM ET",19.425,"WAS"
"QB","Jared Goff",5000,"LAR@JAX 04:05PM ET",16.780,"LAR"
"RB","Marshawn Lynch",5000,"LAC@OAK 04:25PM ET",7.840,"OAK"
"WR","Amari Cooper",5000,"LAC@OAK 04:25PM ET",6.160,"OAK"
"RB","Derrick Henry",5000,"IND@TEN 08:30PM ET",5.340,"TEN"
"QB","Jay Cutler",4900,"MIA@ATL 01:00PM ET",9.835,"MIA"
"RB","Ameer Abdullah",4900,"DET@NO 01:00PM ET",10.320,"DET"
"WR","Jaron Brown",4900,"TB@ARI 04:05PM ET",10.080,"ARI"
"WR","Mohamed Sanu",4800,"MIA@ATL 01:00PM ET",9.675,"ATL"
"WR","Corey Coleman",4800,"CLE@HOU 01:00PM ET",9.100,"CLE"
"WR","Jermaine Kearse",4800,"NE@NYJ 01:00PM ET",12.400,"NYJ"
"RB","Rob Kelley",4800,"SF@WAS 01:00PM ET",4.367,"WAS"
"QB","EJ Manuel",4800,"LAC@OAK 04:25PM ET",7.550,"OAK"
"QB","Eli Manning",4800,"NYG@DEN 08:30PM ET",18.124,"NYG"
"TE","Delanie Walker",4800,"IND@TEN 08:30PM ET",10.300,"TEN"
"RB","LeGarrette Blount",4700,"PHI@CAR 08:25PM ET",10.480,"PHI"
"RB","Wendell Smallwood",4700,"PHI@CAR 08:25PM ET",7.475,"PHI"
"RB","Latavius Murray",4700,"GB@MIN 01:00PM ET",2.580,"MIN"
"WR","Willie Snead",4700,"DET@NO 01:00PM ET",0,"NO"
"QB","Colt McCoy",4700,"SF@WAS 01:00PM ET",0,"WAS"
"RB","Matt Breida",4700,"SF@WAS 01:00PM ET",4.980,"SF"
"WR","Martavis Bryant",4700,"PIT@KC 04:25PM ET",8.680,"PIT"
"QB","Patrick Mahomes II",4700,"PIT@KC 04:25PM ET",0,"KC"
"QB","Matt Cassel",4700,"IND@TEN 08:30PM ET",3.240,"TEN"
"TE","Greg Olsen",4600,"PHI@CAR 08:25PM ET",2.900,"CAR"
"WR","Taylor Gabriel",4600,"MIA@ATL 01:00PM ET",7.400,"ATL"
"QB","Kevin Hogan",4600,"CLE@HOU 01:00PM ET",9.527,"CLE"
"QB","DeShone Kizer",4600,"CLE@HOU 01:00PM ET",11.928,"CLE"
"QB","Chase Daniel",4600,"DET@NO 01:00PM ET",0,"NO"
"WR","Marvin Jones Jr.",4600,"DET@NO 01:00PM ET",8.880,"DET"
"RB","Elijah McGuire",4600,"NE@NYJ 01:00PM ET",6.620,"NYJ"
"QB","Blake Bortles",4600,"LAR@JAX 04:05PM ET",13.356,"JAX"
"QB","Matt Moore",4500,"MIA@ATL 01:00PM ET",0,"MIA"
"RB","Alvin Kamara",4500,"DET@NO 01:00PM ET",13.750,"NO"
"WR","John Brown",4500,"TB@ARI 04:05PM ET",8.833,"ARI"
"QB","Landry Jones",4500,"PIT@KC 04:25PM ET",0,"PIT"
"RB","James Conner",4500,"PIT@KC 04:25PM ET",1.100,"PIT"
"QB","Cardale Jones",4500,"LAC@OAK 04:25PM ET",0,"LAC"
"QB","Geno Smith",4500,"NYG@DEN 08:30PM ET",0,"NYG"
"RB","Frank Gore",4500,"IND@TEN 08:30PM ET",10.420,"IND"
"QB","Nick Foles",4400,"PHI@CAR 08:25PM ET",0,"PHI"
"WR","Jeremy Maclin",4400,"CHI@BAL 01:00PM ET",8.780,"BAL"
"QB","Mike Glennon",4400,"CHI@BAL 01:00PM ET",11.180,"CHI"
"RB","Alex Collins",4400,"CHI@BAL 01:00PM ET",6.025,"BAL"
"RB","Mark Ingram",4400,"DET@NO 01:00PM ET",11.125,"NO"
"WR","Robby Anderson",4400,"NE@NYJ 01:00PM ET",8.400,"NYJ"
"RB","Samaje Perine",4400,"SF@WAS 01:00PM ET",3.975,"WAS"
"QB","Ryan Fitzpatrick",4400,"TB@ARI 04:05PM ET",-0.200,"TB"
"WR","J.J. Nelson",4400,"TB@ARI 04:05PM ET",12.020,"ARI"
