"fpts","ha","cond","l5g_avg_fpts","l5g_avg_ints","l5g_avg_tdp","l5g_avg_pa","l5g_avg_py","l5g_avg_pc","l5g_pct_pyb","l5g_avg_sacks","l5g_avg_fuml","l5g_avg_rec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
14.38,1,"1",25.064,0.4,2.2,39.2,303.6,25.6,0.6,1,0.4,0,25.4,109.8,279,0.6,1.4
19.6,0,"1",22.728,0.4,2,34.8,282.2,21.6,0.4,1,0.4,0,19,133.8,206.2,0.6,2.8
24.92,1,"1",19.644,1.2,1.8,33.6,246.6,22.2,0.2,5,0,0,23,119.75,181.5,0.25,2.25
17.2,1,"1",22.144,1,1.6,34,271.6,22,0.4,0,0,0,18.5,108.5,182.75,0.75,1.25
7.3,0,"1",20.344,1.4,1.6,35,279.6,22.4,0.4,2,0,0,19.25,110.25,225.5,1.5,2.5
27.66,1,"1",16.676,1.2,1.4,32.8,250.4,18.6,0.2,1,0,0,33.5,152,197.75,1,2.5
33.14,0,"1",19.27,0.75,1.5,33.75,266.75,20.25,0.25,3,0,0,25.6,98.6,231.4,0.2,1.4
30.86,0,"1",21.325,0.5,2.25,33.25,263.75,21.25,0.25,1,0,0,22.75,92.25,251,0.5,1.5
27.82,1,"1",24.74,0,2,33.5,276,22.5,0.5,4,0.25,0,15.75,85,223.25,0.5,2.5
37.64,1,"1",23.54,0.25,2,26.75,247.25,19,0.5,2,0.25,0,19,138.2,190.6,1.8,3.6
13.26,1,"1",24.665,0.25,2,28.5,272.25,19.75,0.5,2,0.25,0,26,121.4,248,0.6,2.6
27.14,1,"1",30.408,0.4,2.8,36,344.2,25.8,0.8,1,0,0,28.25,184.75,219,0.5,2
29.2,0,"1",30.32,0.6,2.8,34.8,345,24,0.8,4,0,0,24.2,85.6,257.4,0.4,3
31.08,0,"-1",33.5,0.5,3,34,363.75,24.25,1,4,0,0,22.5,124,173,0.75,2
27.82,1,"1",29.04,0.25,3,31,323.5,22.25,0.75,3,0,0,25.75,113,261,1.25,3
24.76,1,"1",28.81,0.25,3.5,29,285.25,21.5,0.5,2,0,0,27,157.75,273.5,0.25,0.75
23.18,0,"1",28.215,0.25,3.5,30.25,281,22.75,0.25,2,0,0,26.25,143,173.75,0.75,3.25
34.96,0,"1",26.71,0.25,3.25,31,274,22.25,0.25,2,0,0,26,136.6,257.6,0.4,2
17.24,1,"1",28.36,0.4,3.4,34,293,23.4,0.4,4,0,0,26,177.2,184.2,0.6,3.6
